en,zh-hant,zh-hans
class of algorithm,演算法類別,
class of grammar,文法類別,
class of jobs,工件類別,
class of languages,語言類別,
class or vender total,類別或供應商總計,
class probability,類別機率,
class symbol,分類符號,
class test,分類測試,
class test table,分類測試表,
class vector,分類向量,
job pack area,工件包區,
job parallel process,工件平行處理,
job parameter,工件參數,
job partition parameter,工件劃分參數,
job patch,工件修補,
job preparation,工件準備,
job priority,工件優先,作業優先級
job process,工件處理,
job processing,工件處理,作業處理
job processing control,工件處理控制,
job processing monitor,工件處理監視器,
job processing system,工件處理系統,
job processing unit,工件處理單元,
job processor,工件處理機,
job program,工件程式,
job program mode,工件程式模式,
job queue,工件佇列,作業隊列
job queue dump program,工件佇列傾印程式,
job queue entry,工件佇列入口,
job queue management,工件佇列管理,
job receiving message,工件接收訊息,
job recovery control file,工件恢復控制檔,
job region,工件區域,
job reporting,工件報告,
job request,工件請求,
job request control routine,工件請求控制常式,
job request selection,工件請求選擇,
job run,工件運行；工件運轉,
job schedule,工件排程,
classical,古典,
classical adjoint,古典毗連,
classical approach,古典途徑,
classical control theory,古典控制理論,
classical fault,典型故障,
classical filter theory,古典濾波器理論,
classical logic,典邏輯,經典邏輯
classical mechanics,古典力學,
classical solution,古典解,
classical sorting,古典分類,
classical structured program,古典結構程式,
classification,等級；分類,密級
classification by computer,計算機分類,
classification declaration,分類宣告,
classification model,分類模型,
classification of automata,自動機分類,
classification schema,分類綱目,
classification system,分類系統,
classification table,分類表,
classified data,保密資料,密級數據
classified information,保密資訊,密級信息
classifier,分類器,分類器
classify,分類,
classless interdomain routing,無類別域際選路,無類別域際路由選擇
classons,古典子,
clause,子句,子句
clause body,子句本體,
clause for goals,目標子句,
clause form,子句形式,
clause grammar,子句語法,子句語法
clause network,子句網路,
job scheduler,工件排程器,
job scheduling,工件排程,作業調度
job search list,工件搜尋串列,
job selection,工件選擇,
job separation,工件分離,
job separator,工件分離器,
job separator pages,工件分隔頁,
job sequence,工件順序,
job sequence number,工件順序號碼,
job sequencing,工件定序,
job service prefix,工件服務前置,
job shop,工作現場；工件室,
job slot,工件槽,
job source device,工件源裝置,
job source file,工件源檔案,
job source image,工件源影像,
job source record,工件源記錄,
job specification language,工件規格語言,
job stack,工件堆疊,作業棧
job stack system,工件堆疊系統,
job start priority processing,工件起動優先處理,
job state,工件狀態,作業狀態
job statement,工件敘述,
job statement control,工件敘述控制,
job status,工件狀態,
job status area,工件狀態區,
job status information,工件狀態資訊,
job status word,工件狀態字,
job step,工件步驟,作業步
job step control,工件步驟控制,
job step control block,工件步驟控制塊,
job step index,工件步驟指標,
clause number,子句數,
clause set,子句集,
clause train,子句列,
clean copy,原始副本,
clean hole punching,乾淨打孔,
clean out,清除,清除
clean stop,完全停機,
clean surface,清潔表面,
clean up,清理,
cleaner,清潔器,
cleaning,清除,清除
cleaning device,清除裝置,
cleaning diskette,清潔磁片,"清潔軟盤, *清潔盤"
cleanroom,無塵室,淨室
cleanroom software engineering,無塵室軟體工程,淨室軟件工程
clear,清除,清除
clear accumulator,清除累加器,
clear all command,全清命令,
clear all function,全清功能；清除所有功能,
clear and add,清除與加,
clear and add magnitude,清除與加數值,
clear and subtract,清除與減,
clear area,清除區,
clear band,清除帶,
clear box,清除空白盒,
clear carry,清除進位,
clear character,清除字元,
job step initiation,工件步驟啟動,
job step restart,工件步驟再啟動,
job step task,工件步驟任務,
job stream,工件流,作業流
job stream input,工件流輸入,
job stream processor,工件流處理機,
job submission,工件提交,
job support task,工件支援任務,
job swapping memory,工件調換記憶體,
job switching,工件交換,
job table,工件表,作業表
job throughput,工件通量,作業吞吐量
job time,工件時間,
job totals,工件總計,
job trailer,工件尾部,
job transfer port,工件傳送埠,
job unit block,工件單元塊,
job virtual memory,工件虛擬記憶體,
job work order,工件工作命令,
job's channel area,工件通道區,
job's console terminal,工件控制台終端機,
job's logical job name,工件邏輯工件名,
job's spooled listed output,工件排存列表輸出,
job's spooled punched output,工件排存打孔輸出,
joggle,輕搖,
join,聯合；結合；或,聯結
join dependency,結合相依,
clear circuit,清除電路,
clear collision,清除碰撞,
clear command,清除命令,
clear control,清除控制,
clear display,清除顯示,
clear entry,清除登錄,
clear entry function,清除登錄功能；清除進入功能,
clear flag,清除旗標,
clear indication packet,清除指示分封,
clear indicator,清除指示器,
clear instruction,清除指令,
clear key,清除鍵,
clear key switch,清除鍵開關,
clear lamp,清除指示燈,
clear language address,清除語言位址,
clear leader,透明引帶頭,
clear list,清除表,
clear memory,清除記憶體,
clear memory function,清除記憶功能,
clear message,清除訊息,
clear operation,清除操作,
clear output,清除輸出,
clear page,清除頁,
clear program,清除程式,
clear pulse,清除脈衝,
clear request,清除請求,清除請求
clear request packet,清除請求封包,
clear request,清除請求,
clear screen,清除螢幕,
clear session request,清除對話請求,
clear signal,清除信號,
join gate,結合閘；聯合閘,
join information content,聯合資訊內容,
join operation,結合運算,
joint,接頭,
joint access costs,聯合存取成本,
joint allocation,聯合配置量,
joint application design,聯合應用設計,
joint computer conference,聯合計算機會議,
joint coordinate system,聯合座標系統,
joint denial,反或,
joint denial gate,連斥閘；聯合拒絕閘,
joint gate,或閘,
joint information content,聯合資訊內容；聯合資訊內涵,
joint interpolated motion,聯合內插運動,
joint level control,聯合位準控制,
joint mark,結合標示,
joint operation,聯合操作,
Joint Photographic Experts Group,聯合影像專家小組 ;靜止影像壓縮標準,JPEG[靜止圖像壓縮]標准
joint position control,聯合位置控制,
joint rate control,聯合率控制,
joint space,聯合空間,
joint use,聯用,
jointed-arm configuration,聯合臂組態,
jointly managed device,聯合管理裝置,
Joseph effect,約瑟夫效應,約瑟夫效應
Josephosen memory,約瑟夫記憶體,
journal,日誌；期刊,日志
journal analyzer,日誌分析程式,
journal buffer,日誌緩衝器,
journal control command,日誌控制命令,
journal control program,日誌控制程式,
clear store instruction,清除儲存指令,
clear switch,清除開關,
clear tape,空白磁帶,
clear to send,清除發送,
clear to send carrier detect,接受發送載波檢測,
clear to send circuit,接受發送電路,
clear trailer,透明引帶尾,
clear write condition,清除寫入條件,
clear write time,清除寫入時間,
clearance,間距,
clearance check,間距核對,
clearance order,清除命令,
journal control table,日誌控制表,
journal dump,日誌傾印,
journal entry,日誌登錄,
journal file,日誌檔案,
journal management program,日誌管理程式,
journal number,日誌號碼,
journal output,日誌輸出,
journal printer,日誌列印機,
journal reader,日誌閱讀機,
journal receiver,日誌接收器,
journal sheet,日誌表單,
journal tape printer,日誌帶列印機,
journal volume,日誌卷,
journaling,日誌登載,
journaling backup,日誌登載備份,
JOVIAL,JOVIAL語言,JOVIAL語言
joy stick,搖桿；操縱桿,操縱杆
joyswitch,操作開關,操作開關
JPEG,聯合影像專家小組 ;靜止影像壓縮標準,JPEG[靜止圖像壓縮]標准
JT,工件表,作業表
juke box optical disk system,自動換片光碟系統,
Jules' Own Version of International Algorithmic language,JOVIAL語言,JOVIAL語言
Julian data,太陽曆,
jumbo chip,大型晶片,
jump,跳越；跳位,跳
jump absolute,跳越絕對,
jump address register,跳越位址暫存器,
jump address,跳越位址,
jump and set return,跳越並設定轉回,
cleared condition,已清除條件,
clearing,清除,准許
clearing device,清除裝置,
clearing field,清除欄,
clearing house,票據交換所,
clearing interrupt,清除中斷,
clearing key,清除鍵,
clearing procedure,清除程序,
clearing signal,清除信號,
clearing time,清除時間,
cleavage,分離,
clerical operation,人工作業,
click,鍵音,單擊
click clack,鍵音,
click key,鍵音鍵,
client,客戶,
client process,委託者工作元,
client/server architecture,主從架構,
client/server computing,主從計算,
client/server model,主從模型,客戶-服務器模型
client/server system,主從系統,
climb tree heuristic method,爬樹試探法,
